NAME,total_population,median_household_income,median_home_value,bachelors_degree,education_total,unemployed,labor_force_total,owner_occupied,housing_total,median_age,median_gross_rent,commute_total,commute_60plus_min,housing_units_total,built_2020_later,built_2010_2019,state,county,tract,GEOID,pct_bachelors,unemployment_rate,pct_owner_occupied,pct_new_housing,pct_long_commute
Census Tract 1.01; Hillsborough County; Florida,4169,42121,223500,349,1953,91,3671,524,1652,23.9,1259,1849,99,1827,0,179,12,057,000101,12057000101,0.1786994367639529,0.024788885862162897,0.3171912832929782,0.09797482211275314,0.053542455381287185
Census Tract 1.02; Hillsborough County; Florida,6161,31411,214200,634,4311,709,4746,1004,2643,40.4,1019,2071,0,2796,37,0,12,057,000102,12057000102,0.1470656460218047,0.1493889591234724,0.3798713583049565,0.013233190271816882,0.0
Census Tract 2.01; Hillsborough County; Florida,3340,27375,191700,132,2185,239,2579,216,1378,31.8,914,1265,54,1593,0,0,12,057,000201,12057000201,0.06041189931350115,0.09267157813105854,0.1567489114658926,0.0,0.042687747035573126
Census Tract 2.02; Hillsborough County; Florida,5975,35500,157500,207,3306,228,4310,604,1896,28.7,1293,2234,188,2081,0,29,12,057,000202,12057000202,0.06261343012704174,0.052900232018561484,0.31856540084388185,0.013935607880826525,0.08415398388540735
Census Tract 3.01; Hillsborough County; Florida,5312,40953,172600,374,3577,184,4097,571,1717,35.4,1113,2067,135,1856,7,135,12,057,000301,12057000301,0.10455689124965055,0.04491091042226019,0.33255678509027375,0.07650862068965517,0.06531204644412192
Census Tract 3.02; Hillsborough County; Florida,3028,41766,196800,581,1949,33,2319,532,1201,34.5,1379,1405,89,1201,0,16,12,057,000302,12057000302,0.29810159055926116,0.014230271668822769,0.44296419650291424,0.013322231473771857,0.06334519572953737
Census Tract 4.01; Hillsborough County; Florida,2323,53750,222400,303,1721,50,2009,603,964,40.6,1134,1112,11,1103,0,23,12,057,000401,12057000401,0.17606042998256827,0.024888003982080638,0.6255186721991701,0.02085222121486854,0.009892086330935251
Census Tract 4.02; Hillsborough County; Florida,3340,49634,192300,129,2114,71,2788,569,1092,38.0,1265,1527,24,1207,0,0,12,057,000402,12057000402,0.061021759697256386,0.025466284074605453,0.5210622710622711,0.0,0.015717092337917484
Census Tract 5; Hillsborough County; Florida,4157,77656,248400,802,3100,129,3541,1391,1573,41.5,2038,1599,60,1639,0,8,12,057,000500,12057000500,0.25870967741935486,0.03643038689635696,0.8842975206611571,0.004881025015253203,0.0375234521575985
Census Tract 6.01; Hillsborough County; Florida,5106,51796,193500,465,3649,175,4214,579,1854,33.2,1364,2573,40,2132,0,25,12,057,000601,12057000601,0.1274321731981365,0.04152823920265781,0.3122977346278317,0.01172607879924953,0.01554605518849592
Census Tract 6.02; Hillsborough County; Florida,2655,50390,162000,169,1874,37,2201,639,1016,42.2,1142,953,35,1103,0,11,12,057,000602,12057000602,0.09018143009605123,0.016810540663334848,0.6289370078740157,0.009972801450589302,0.03672612801678909
Census Tract 7.01; Hillsborough County; Florida,3669,34779,164300,131,1915,175,2333,235,1101,27.6,1307,1099,66,1190,0,10,12,057,000701,12057000701,0.06840731070496084,0.07501071581654523,0.2134423251589464,0.008403361344537815,0.06005459508644222
Census Tract 7.02; Hillsborough County; Florida,2604,26344,142900,164,1737,143,2016,499,1034,33.7,1006,802,49,1180,0,28,12,057,000702,12057000702,0.09441565918249856,0.07093253968253968,0.4825918762088975,0.023728813559322035,0.06109725685785536
