GEOID,target_home_value,total_population,median_household_income,median_age,median_gross_rent,pct_bachelors,unemployment_rate,pct_owner_occupied,pct_new_housing,pct_long_commute,dist_to_schools,dist_to_parks,dist_to_transit,dist_to_hospitals,count_schools_2km,count_parks_2km,count_transit_2km,count_hospitals_2km,pct_flood_zone,in_flood_zone,tract_area_sqkm,compactness,dist_to_cbd_km,zhvi_county_benchmark
12057000102,214200,6161,31411,40.4,1019,0.1470656460218047,0.1493889591234724,0.3798713583049565,0.0132331902718168,0.0,344.1077138379524,1281.9907320204654,11887.363811662353,1490.2018204490334,4,9,0,1,0.0,0,4.405965508365984,0.6615775570609363,12.12745080515876,
12057014300,275000,4784,97159,39.4,1119,0.1616839536302623,0.009281357730045,0.8403634003893575,0.0625383200490496,0.0360610263522884,9502.463790143338,4146.9578157890755,35411.145801899605,25207.656791783036,0,0,0,0,0.0,0,138.57182098537376,0.35644080164695924,35.99926221446927,
12057004602,220200,1873,68349,41.1,1824,0.2333529758397171,0.0040485829959514,0.4309338521400778,0.3504340962904498,0.0201567749160134,334.0501906391476,871.474484762605,9341.574674165779,5303.781933007377,5,2,0,0,0.0,0,6.2998842292237,0.21972352591910926,8.537769135960813,
12057011716,197400,6099,67656,33.8,1686,0.1734788666976312,0.0527638190954773,0.2502054231717338,0.0943987465726596,0.0171673819742489,881.0524191598026,603.4867941150513,12546.4234179412,2784.323216930399,4,5,0,0,0.0,0,3.13573737200653,0.6636997473254063,11.782915421195614,
12057004601,215600,3682,78889,31.2,1991,0.372076286433969,0.0120718697361033,0.1728927203065134,0.539714058776807,0.0256813417190775,1216.7055912131589,163.26035547288924,6722.7162470519925,3046.020179761306,6,7,0,0,0.0,0,2.3304485076935166,0.7955006296994658,5.9235656234671294,
12057014200,250500,2856,30793,37.6,987,0.220969089390142,0.0353314807463279,0.1659965537047673,0.4334548769371011,0.0475746268656716,247.43771310069326,90.91091209053417,1355.2388148108998,3193.4955669525016,10,25,1,0,0.0,0,2.7690716475222077,0.5791536023399656,1.7729200861734404,
12057011017,453600,2052,112750,33.1,1815,0.2549691569568197,0.0,0.4797619047619048,0.5050962627406569,0.0366441658630665,2343.6413413811315,962.05149572967,18781.46288015841,5576.103500870218,0,4,0,0,0.0,0,13.809397826071322,0.55163543339853,19.09172733018765,
12057006503,313600,1158,54810,32.1,1409,0.3118393234672304,0.0099457504520795,0.1135531135531135,0.0651955867602808,0.0,1175.281980688479,1476.891298099472,10830.452472837189,1438.1182744661955,2,2,0,1,0.0,0,1.1818494970949176,0.6458747149418705,10.217089320404208,
12057002701,243700,4154,51814,48.0,1224,0.1864864864864865,0.0201647259301334,0.6865767501605652,0.0125,0.0176623376623376,506.74690853562566,1065.2336951021098,5595.311706941838,471.71389452327463,5,4,0,5,0.0,0,2.9952028630486542,0.5415025883365,4.928269751584574,
12057010215,383600,7805,138019,37.9,-666666666,0.2900191938579654,0.0182905982905982,0.9756507136859782,0.4523431294678316,0.0154639175257731,1665.4807665833994,1426.8774579137148,31972.961714316138,18567.54369359567,2,1,0,0,0.0,0,19.872521927001177,0.5209950543469813,32.366370762348204,
